v,vw,o,c,h,l,t,n
27057002.0,153.5269,153.72,153.38,154.08,152.95,1703739600000,301925
39728704.0,152.3277,153.1,151.94,153.89,151.03,1703826000000,353439
47314924.0,149.8529,151.54,149.93,152.38,148.39,1704171600000,476432
49410095.0,149.4055,149.2,148.47,151.05,148.33,1704258000000,416954
56039807.0,145.416,145.59,144.57,147.38,144.05,1704344400000,541342
45003147.0,145.4485,144.69,145.24,146.59,144.53,1704430800000,380385
46757053.0,148.3238,146.74,149.1,149.4,146.15,1704690000000,410733
43812567.0,150.6311,148.33,151.37,151.71,148.21,1704776400000,403026
44421830.0,153.4523,152.06,153.73,154.42,151.881,1704862800000,430517
49072691.0,155.0181,155.04,155.18,157.17,153.12,1704949200000,468131
40455355.0,154.8237,155.39,154.62,156.2,154.01,1705035600000,351913
41360986.0,153.1344,153.53,153.16,154.99,152.15,1705381200000,396069
34953363.0,151.2287,151.49,151.71,152.15,149.91,1705467600000,354674
37850245.0,153.1334,152.77,153.5,153.775,151.82,1705554000000,344845
51621628.0,154.6116,153.83,155.34,155.76,152.74,1705640400000,408184
43687468.0,154.9418,156.89,154.78,157.05,153.9,1705899600000,427992
37986039.0,155.3239,154.85,156.02,156.21,153.93,1705986000000,353578
48403865.0,157.4001,157.8,156.87,158.51,156.48,1706072400000,435420
43626052.0,157.1522,156.95,157.75,158.505,154.5501,1706158800000,455333
49312353.0,159.1859,158.42,159.12,160.72,157.91,1706245200000,426673
45270385.0,160.2769,159.34,161.26,161.29,158.9,1706504400000,447373
45198365.0,159.4988,160.7,159,161.73,158.49,1706590800000,458713
50155866.0,156.2675,157,155.2,159.01,154.81,1706677200000,532780
76222119.0,160.6995,155.87,159.28,159.76,155.62,1706763600000,742977
117018313.0,170.9334,169.19,171.81,172.5,167.33,1706850000000,1134750
54876149.0,169.5257,170.2,170.31,170.55,167.7,1707109200000,572534
42505518.0,168.8813,169.39,169.15,170.71,167.65,1707195600000,406692
47171760.0,170.181,169.48,170.53,170.88,168.94,1707282000000,452956
42309954.0,170.2667,169.65,169.84,171.43,168.88,1707368400000,399951
56985986.0,173.3948,170.9,174.45,175,170.5803,1707454800000,549269
50922340.0,173.2976,174.8,172.34,175.39,171.54,1707714000000,512027
56289922.0,168.877,167.73,168.64,170.95,165.75,1707800400000,572687
42797544.0,170.0337,169.21,170.98,171.21,168.28,1707886800000,457092
49844196.0,169.4354,170.58,169.8,171.17,167.59,1707973200000,521439
48097744.0,169.1822,168.74,169.51,170.42,167.17,1708059600000,468194
41978976.0,166.9099,167.83,167.08,168.71,165.74,1708405200000,478319
44137123.0,168.5492,168.94,168.59,170.23,167.14,1708491600000,466025
55392354.0,173.5407,173.1,174.58,174.8,171.77,1708578000000,547144
59715243.0,174.7441,174.28,174.99,175.75,173.7,1708664400000,467172
44368614.0,174.9955,175.7,174.73,176.37,174.26,1708923600000,428536
31141732.0,173.7541,174.075,173.54,174.62,172.86,1709010000000,357527
28180482.0,173.319,172.44,173.16,174.05,172.27,1709096400000,328701
53805359.0,175.7037,173.01,176.76,177.22,172.85,1709182800000,446966
31966152.0,177.8613,176.75,178.22,178.725,176.07,1709269200000,406699
37381520.0,178.5391,177.53,177.58,180.14,177.49,1709528400000,443556
37215693.0,174.4671,176.93,174.12,176.93,173.303,1709614800000,448859
32090926.0,174.3209,175.54,173.51,176.46,173.26,1709701200000,389497
33934783.0,176.4308,174.83,176.82,177.99,173.72,1709787600000,379857
37772242.0,176.2118,176.44,175.35,178.785,174.33,1709874000000,443160
