v,vw,o,c,h,l,t,n
5662565.0,182.9531,183.31,183.45,183.54,182.24,1709010000000,88774
6131608.0,184.4134,183.43,184.38,185.2,182.96,1709096400000,90914
9643012.0,185.571,185.66,186.06,186.43,183.85,1709182800000,100056
6311996.0,185.4901,185.7,185.29,186.44,185.1,1709269200000,93782
7063605.0,186.6475,184.71,186.68,187.59,184.27,1709528400000,113139
6617832.0,188.316,186.36,188.55,189.3,186.36,1709614800000,109772
7572891.0,189.4046,189.25,189.53,190.07,187.63,1709701200000,118929
7618277.0,188.1675,189.91,187.87,190.5,186.63,1709787600000,107504
6172199.0,188.7037,188.44,188.22,190.455,187.92,1709874000000,98917
5762569.0,187.5541,187.28,188.29,188.44,186.22,1710129600000,96839
5708384.0,189.5245,188.95,189.84,190.16,187.91,1710216000000,88346
7795535.0,191.2072,190.36,191.38,191.73,189.84,1710302400000,107982
10310948.0,188.5664,191.03,187.97,191.63,187.103,1710388800000,134594
17214229.0,189.6294,186.48,190.3,190.94,186.48,1710475200000,137652
9013713.0,192.0158,190.63,192.66,192.7,189.89,1710734400000,109664
8475517.0,193.4709,192.71,193.79,193.93,192.38,1710820800000,103993
9367043.0,195.6171,194.19,196.33,196.56,193.61,1710907200000,129684
11203796.0,198.6853,196.52,199.06,199.43,196.33,1710993600000,139164
8108840.0,197.5226,199.01,196.62,200.48,196.54,1711080000000,109826
8577015.0,195.118,196.6,194.82,196.94,194.36,1711339200000,117615
5961484.0,195.7978,194.59,195.73,196.66,194.0554,1711425600000,93555
8725757.0,198.3335,196.5,199.52,199.6,196.38,1711512000000,104834
8628313.0,200.0362,199.49,200.3,200.72,198.54,1711598400000,113186
7309009.0,199.1407,199.99,198.94,200.94,198.565,1711944000000,110845
7014683.0,198.8779,198.39,198.86,199.78,198.08,1712030400000,101851
9353426.0,198.5897,199.04,198.3,199.56,197.7,1712116800000,119186
9243793.0,197.5601,199.15,195.65,199.68,195.55,1712203200000,124155
6532278.0,197.0448,196.16,197.45,198.1224,195.11,1712289600000,111367
8000963.0,198.3801,197.62,198.48,198.98,197.62,1712548800000,118390
7334031.0,196.702,198.07,197.15,198.88,194.91,1712635200000,110849
7681377.0,195.4359,195.55,195.47,197.07,194.18,1712721600000,129335
10133789.0,195.2223,196,195.43,196.57,193.24,1712808000000,149508
31532308.0,184.9688,188.32,182.79,188.93,182.54,1712894400000,377969
14266551.0,184.4365,184.5,182.89,187.46,182.195,1713153600000,203260
15790397.0,180.7366,182.9,180.8,183.16,179.65,1713240000000,208773
8893394.0,180.4756,181.37,180.08,182.4199,179.2,1713326400000,133224
9103239.0,181.6465,181.1,181.25,183.36,179.97,1713412800000,124272
12605694.0,184.4451,182.4,185.8,185.88,181.41,1713499200000,148635
10982074.0,188.5942,185.99,189.41,190.125,185.98,1713758400000,137857
8536013.0,191.6849,191.13,192.14,192.225,190.52,1713844800000,126273
6803689.0,192.1976,190.53,193.08,193.23,190.17,1713931200000,113813
8521858.0,192.9984,192.25,193.37,193.935,191.18,1714017600000,119020
6219221.0,193.8139,193.57,193.49,194.87,193.06,1714104000000,94289
5272892.0,193.401,193.48,193.28,194.26,192.43,1714363200000,93319
8003262.0,192.7654,192.81,191.74,194.99,191.64,1714449600000,116297
7010946.0,192.3338,192.27,191.86,194.46,190.79,1714536000000,122811
6195276.0,191.2237,193.07,191.66,193.5,189.52,1714622400000,103843
8854081.0,190.3511,192,190.51,192.529,188.46,1714708800000,134420
7392533.0,191.1408,191.73,192,192.2,189.815,1714968000000,125562
7518051.0,192.1622,191.7,191.75,192.93,191.65,1715054400000,115103
9142478.0,194.2654,191,195.65,196.65,191,1715140800000,134441
7878774.0,196.8481,195.17,197.5,197.59,195.1,1715227200000,118192
7444731.0,198.8668,198.54,198.77,199.3399,198.27,1715313600000,110117
6733621.0,198.8852,198.8,198.73,199.85,198.04,1715572800000,98097
8486884.0,200.4248,199,201.51,201.58,198.16,1715659200000,124690
8029534.0,201.2132,202.01,202.11,202.69,199.77,1715745600000,127300
8301562.0,203.0404,202.22,202.47,204.48,201.9901,1715832000000,123416
9150400.0,204.3864,203.81,204.79,205.05,202.8149,1715918400000,122652
16766443.0,199.0832,204.39,195.58,205.88,195.4,1716177600000,226999
13905556.0,198.7093,197,199.52,199.9,196.6,1716264000000,185044
9337967.0,198.9538,199,198.31,200.935,197.69,1716350400000,133531
7772092.0,197.1525,197.81,196.92,198.3,196.07,1716436800000,109245
7006112.0,200.0138,197.75,200.71,200.76,197.56,1716523200000,98109
6800534.0,199.477,199.86,199.5,200.41,198.66,1716868800000,113296
5609540.0,198.0948,198,198.11,198.99,196.89,1716955200000,100421
6463099.0,199.2793,198.56,199.33,199.85,198.4,1717041600000,103479
13671160.0,201.6475,199.3,202.63,203.3,198.35,1717128000000,123572
6168123.0,201.0959,202.31,201.82,202.42,199.19,1717387200000,113418
6672529.0,199.4672,200.16,199.16,201.98,198.28,1717473600000,111094
8089288.0,197.731,199.76,197.26,199.82,196.92,1717560000000,118126
7496415.0,196.8285,197.26,196.91,198.02,195.33,1717646400000,108829
6773725.0,199.8294,197.43,199.95,200.92,197.01,1717732800000,97269
5916324.0,199.576,199.24,199.61,200.84,198.44,1717992000000,102068
9112488.0,194.6513,197.91,194.36,197.94,193.6,1718078400000,132086
12594939.0,192.7354,196,191.53,196.72,191.31,1718164800000,180092
8473435.0,193.1552,192.32,193.66,194.58,190.88,1718251200000,111430
6523075.0,193.4749,191.45,193.78,194.86,191.42,1718337600000,99271
8008638.0,194.749,193.48,194.98,195.58,192.64,1718596800000,110356
8601737.0,196.7457,194.6,197,197.96,194.13,1718683200000,113377
8281076.0,197.9642,196.39,198.67,199.45,196.11,1718856000000,123085
19711390.0,196.0344,196.71,196.3,197.17,194.22,1718942400000,142151
9499781.0,198.5864,197.81,198.88,199.23,197.1,1719201600000,135167
6529272.0,198.5962,198.09,198.07,200.07,197.74,1719288000000,103764
7351224.0,197.227,197.45,197.43,197.94,196.275,1719374400000,108411
7448593.0,198.9616,197.44,199.17,199.86,196.9,1719460800000,102979
14155246.0,201.8693,200.01,202.26,202.6,199.3018,1719547200000,140397
9340169.0,205.7042,202.84,205.45,207.09,202.66,1719806400000,145715
