o,c,h,l,t
17334.71022579971,17037.64565057241,17362.28068269716,16973.94196169122,1713502800000
17161.10898864822,17210.88556792665,17305.15300484702,17010.25483470175,1713762000000
17297.2386621828,17471.47136890356,17513.30723818752,17277.25484321471,1713848400000
17613.66178108069,17526.80046347842,17653.65752860066,17435.33214312158,1713934800000
17205.27947856537,17430.50359092544,17474.46095342574,17172.42281209206,1714021200000
17566.22328124947,17718.29872095628,17772.77642189092,17533.08087906539,1714107600000
17801.139470156,17782.71505413238,17820.00033169726,17671.03253305016,1714366800000
17720.3531533753,17440.69183718555,17768.86933426669,17440.69183718555,1714453200000
17382.77678749994,17318.54859363804,17667.86152348903,17284.36581682217,1714539600000
17474.91512462568,17541.54134334946,17575.80457079906,17290.63650206353,1714626000000
17848.6606595277,17890.79532155735,17926.97789987739,17784.78120876062,1714712400000
17950.98398236091,18093.56589755589,18094.46052085218,17937.28193877399,1714971600000
18106.33200082134,18091.44619943184,18156.31888916287,18061.60521267198,1715058000000
17987.70464758797,18085.01164002989,18135.34399047651,17987.70464758797,1715144400000
18095.796482354,18113.46290716427,18138.01871230662,18012.61810925936,1715230800000
18171.14550629026,18161.17989896498,18247.60863856543,18099.72538902178,1715317200000
18228.40492635576,18198.61412238115,18233.49531049996,18147.57271878186,1715576400000
18187.50635176001,18322.77060117382,18339.57950704981,18175.29725296418,1715662800000
18412.80699260367,18596.65134062301,18607.52729500568,18359.31950923107,1715749200000
18589.9774910173,18557.96438158368,18669.49774277168,18553.30279247614,1715835600000
18571.82113796285,18546.22981355143,18590.36815967219,18462.253427709,1715922000000
18559.21652334926,18674.18691243955,18703.82864379392,18549.84016393859,1716181200000
18603.98655945749,18713.79775448905,18721.17701485229,18589.91245233597,1716267600000
18733.5446872542,18705.20233184233,18756.68752406594,18606.16047832354,1716354000000
18907.13705512646,18623.38734088473,18907.54338340147,18554.88994858876,1716440400000
18669.35890326319,18808.34673369612,18851.98897797014,18664.78789326279,1716526800000
18855.15015908835,18869.4400368712,18875.19713899384,18755.94447843186,1716872400000
18708.07363025895,18736.75452168901,18814.81520496344,18706.62458192686,1716958800000
18683.24565777945,18538.66259353875,18705.26136413013,18487.76265073961,1717045200000
18550.80295199804,18536.65084017172,18574.56452561184,18189.78039427838,1717131600000
18666.72269255174,18600.97430157118,18707.21864466211,18392.57219190483,1717390800000
18597.99951248925,18654.83663795863,18697.94677644399,18521.85041733735,1717477200000
18791.27948188194,19035.04843964258,19035.86811267088,18768.25444065337,1717563600000
19053.00648422568,19021.19338250872,19071.78675912195,18978.85812542063,1717650000000
18992.57729438165,19000.95068891885,19113.88304453862,18958.67889687748,1717736400000
18945.31430262535,19074.67469647794,19089.83484241007,18940.70535379444,1717995600000
19031.39790654618,19210.18482439027,19212.63350149218,18966.56110358806,1718082000000
19358.25937816403,19465.1794640695,19556.89508386722,19347.28057882641,1718168400000
19609.0508945026,19576.92365893397,19639.44970211524,19473.70523696581,1718254800000
19557.2204978493,19659.80014561004,19664.59439707057,19534.62240485794,1718341200000
19681.85583547603,19902.74884831714,19977.84132716086,19623.71418074436,1718600400000
19904.43182260189,19908.85759046746,19940.49961285295,19837.85883666706,1718686800000
19962.96723277523,19752.29783112089,19979.92733086331,19685.03053023464,1718859600000
19722.37158451509,19700.43122184786,19801.96690583611,19643.52031169316,1718946000000
19648.23146159148,19474.61981217059,19723.20155734174,19472.52920522999,1719205200000
19555.83913579358,19701.128649269,19712.41545199914,19523.50672244783,1719291600000
19671.06807918604,19751.04783769252,19763.5457465626,19654.18310358811,1719378000000
19740.51501304937,19789.02700989159,19850.81018275664,19701.33624929055,1719464400000
19817.00451612913,19682.87092403128,20017.71460722635,19665.84863332626,1719550800000
19720.11206179996,19812.22252929795,19827.74880258286,19577.53546714956,1719810000000
