v,vw,o,c,h,l,t,n
75680,1.348,1.34774,1.3497,1.3501,1.3466,1708300800000,75680
109661,1.351,1.34991,1.35232,1.35296,1.347,1708387200000,109661
122231,1.3515,1.35235,1.3493,1.35362,1.3484,1708473600000,122231
117398,1.348,1.3495,1.348,1.35075,1.3438,1708560000000,117398
108398,1.3488,1.34824,1.34207,1.3541,1.33968,1708646400000,108398
1329,1.3503,1.34904,1.35103,1.35105,1.34893,1708819200000,1329
93083,1.3514,1.35102,1.35013,1.35285,1.34687,1708905600000,93083
108540,1.3509,1.35013,1.35312,1.35392,1.3482,1708992000000,108540
108504,1.3567,1.35313,1.35775,1.3606,1.3525,1709078400000,108504
120178,1.3574,1.35774,1.3569,1.35974,1.35165,1709164800000,120178
102609,1.3569,1.35682,1.3562,1.3602,1.35265,1709251200000,102609
1699,1.3553,1.35463,1.35513,1.35564,1.35453,1709424000000,1699
96308,1.3567,1.35508,1.3574,1.35837,1.3543,1709510400000,96308
107774,1.3583,1.35757,1.359,1.36049,1.3554,1709596800000,107774
112070,1.3553,1.359,1.35118,1.35997,1.34719,1709683200000,112070
116898,1.3492,1.35117,1.34528,1.35253,1.26239,1709769600000,116898
116728,1.3457,1.34526,1.335,1.34978,1.335,1709856000000,116728
2100,1.3488,1.34782,1.34805,1.34911,1.3478,1710028800000,2100
100835,1.3485,1.34804,1.3475,1.35096,1.3467,1710115200000,100835
110296,1.3489,1.34773,1.34931,1.35254,1.34557,1710201600000,110296
101297,1.3482,1.34931,1.3463,1.34984,1.3457,1710288000000,101297
103625,1.3494,1.34653,1.3534,1.3542,1.3447,1710374400000,103625
95863,1.3534,1.35365,1.3527,1.35516,1.33024,1710460800000,95863
1279,1.3544,1.35363,1.35459,1.3548,1.35363,1710633600000,1279
82247,1.3538,1.35458,1.3535,1.3553,1.3498,1710720000000,82247
100488,1.3569,1.35348,1.3574,1.36134,1.3532,1710806400000,100488
107260,1.3556,1.35742,1.34728,1.3605,1.3469,1710892800000,107260
107144,1.35,1.34729,1.35274,1.35414,1.3454,1710979200000,107144
